/Users/willy/Documents/TibaMe/web/venv/bin/python /Users/willy/Documents/TibaMe/Python/code/temp.py
R 2020_01_09_1.mp4 https://cdn.tibame.com/course/618/videos/62db2d69-dd8f-4eca-ad92-b013db098291_GMT20200109-010626_104CLASS-T_1440x900.mp4
R 2020_01_09_2.mp4 https://cdn.tibame.com/course/618/videos/c19fd51e-c12e-4daf-91a2-64004d6ff166_GMT20200109-053253_104CLASS-T_1440x900.mp4
R 2020_01_30_1.mp4 https://cdn.tibame.com/course/618/videos/e4965f4d-ee70-4d19-ac38-f16e137cefb6_GMT20200130-010419_104CLASS-T_1440x900.mp4
R 2020_01_30_2.mp4 https://cdn.tibame.com/course/618/videos/b3f210fd-ae93-49b3-b7fe-1f7e049123b5_GMT20200130-053352_104CLASS-T_1440x900.mp4
R 2020_02_03_1.mp4 https://cdn.tibame.com/course/618/videos/6e364e0b-b8e7-405a-a368-f1cfc1891097_GMT20200203-010413_104CLASS-T_1440x900.mp4
R 2020_02_03_2.mp4 https://cdn.tibame.com/course/618/videos/4ae4730e-8667-43ef-94c3-2260f4868413_GMT20200203-053503_104CLASS-T_1440x900.mp4
R 2020_02_04_1.mp4 https://cdn.tibame.com/course/618/videos/fd9d1613-fa7d-411b-bb4b-fdf2e0029baf_GMT20200204-010438_104CLASS-T_1440x900.mp4
R 2020_02_04_2.mp4 https://cdn.tibame.com/course/618/videos/e5f550ac-0aca-4645-94e6-0c0f543a30b3_GMT20200204-053450_104CLASS-T_1440x900.mp4
Spark .mp4 2020/04/10_1
Spark 2020_04_11_1.mp4 https://cdn.tibame.com/course/753/videos/cae9a434-067d-4f86-a8df-c6aa6efb75b8_GMT20200411-010613_104CLASS-T_1440x900.mp4
Spark 2020_04_12_1.mp4 https://cdn.tibame.com/course/753/videos/7ce1c335-2627-420d-96d1-2b110b7cb3a3_GMT20200412-011434_104CLASS-T_1440x900.mp4
Spark 2020_04_17_1.mp4 https://cdn.tibame.com/course/753/videos/40070ed4-646f-4f86-9418-c35122602afc_GMT20200417-054331_104CLASS-T_1440x900.mp4
Spark 2020_04_18_1.mp4 https://cdn.tibame.com/course/753/videos/07c790f0-f394-43f0-8e8c-dcf41af2f256_GMT20200418-011034_104CLASS-T_1440x900.mp4
Spark 2020_04_19_1.mp4 https://cdn.tibame.com/course/753/videos/342bca55-80a2-42d6-9ca6-1ecaac2bcc06_GMT20200419-010810_104CLASS-T_1440x900.mp4
Spark 2020_04_19_2.mp4 https://cdn.tibame.com/course/753/videos/54e669e0-bbd6-4c0d-885a-607c48ec813b_GMT20200419-051623_104CLASS-T_1440x900.mp4
Spark 2020_04_24_1.mp4 https://cdn.tibame.com/course/753/videos/cfa97ee4-3ae7-4889-ac95-a5f022712609_GMT20200424-010458_104CLASS-T_1440x900.mp4
Spark 2020_04_25_1.mp4 https://cdn.tibame.com/course/753/videos/f39464f6-9035-4c90-ab2b-401539521777_GMT20200425-013312_104CLASS-T_1440x900.mp4
Spark 2020_04_25_2.mp4 https://cdn.tibame.com/course/753/videos/a18b7653-9d5f-47f9-9632-ce6521939a86_GMT20200425-052512_104CLASS-T_1440x900.mp4
Spark 2020_04_26_1.mp4 https://cdn.tibame.com/course/753/videos/fb365d0e-801d-4d41-b818-cb8f7267b8a1_GMT20200426-011151_104CLASS-T_1440x900.mp4
Spark 2020_04_26_2.mp4 https://cdn.tibame.com/course/753/videos/05a9f661-8590-4629-8bd7-024162c8ecb5_GMT20200426-052528_104CLASS-T_1440x900.mp4
Spark 2020_05_08_1.mp4 https://cdn.tibame.com/course/753/videos/648456f6-2b15-4ba1-8f41-70151c3b04b7_GMT20200508-011035_104CLASS-T_1440x900.mp4
Spark 2020_05_08_2.mp4 https://cdn.tibame.com/course/753/videos/7984699c-3867-46f9-b599-d48c1646b794_GMT20200508-052345_104CLASS-T_1440x900.mp4
Spark 2020_05_09_1.mp4 https://cdn.tibame.com/course/753/videos/d3d95095-d8c0-4d17-857a-9fee46cf6194_GMT20200509-010955_104CLASS-T_1440x900.mp4
Spark 2020_05_09_2.mp4 https://cdn.tibame.com/course/753/videos/d549682b-1dfc-40cb-be52-d57e40001c87_GMT20200509-052025_104CLASS-T_1440x900.mp4
Spark 2020_05_10_1.mp4 https://cdn.tibame.com/course/753/videos/1ca79a8a-ba24-4792-a69b-5cbb6858604c_GMT20200510-011002_104CLASS-T_1440x900.mp4

Process finished with exit code 0
